time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2095,2.8224033058149227,29.229676276113242,0.5869004173255319,0.766094261384023,62.22499953557107,611.4118693236759,0.47764569356752734,0.0,0.7789673219037785,30.937569516845354,604.6532177876883,3448.9240369086237,438.05512751307424,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,599.4101579532553,1.45,0.07873685176091616
2100,2.9404864876213965,4.0694250517884,0.349180228439095,0.5909147387221739,56.93716273807667,641.8237651557085,0.04905212324291988,0.0,0.9694807979477775,58.40512535353122,634.12285217633,3468.0835576891923,1026.3141294434545,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,624.6652097888413,1.45,0.07873685176091616
2105,3.030004584117284,70.64035309845903,0.20267271405906404,0.4501918636082443,51.26346995893726,588.3759947298847,0.5310958385912485,0.0,0.39111884237072453,26.636733642977504,580.8799949946499,2201.0744342605244,324.8545604043898,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,580.2441716605554,1.45,0.07873685176091616
2110,3.138538304755349,20.08524147750813,0.11414378824182904,0.33785172523139356,46.08538116336018,661.0086396208854,0.09091983925462876,0.0,0.8388230925102522,57.31086206031059,651.9731841763369,2840.538767365232,911.7623150966339,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,646.3373265447082,1.45,0.07873685176091616
2115,3.2297208066117875,89.04597686649342,0.0626711992084952,0.250342164264223,40.73244744607153,619.259258179241,0.6805259593638311,0.0,0.20138632362724307,18.953649222522685,610.2954920542848,1971.134165910053,183.26708640158373,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,610.2049209718084,1.45,0.07873685176091616
2120,3.3478738301032935,19.357793464300904,0.03329141989102449,0.18245936504061525,36.00423501566821,743.2384101477234,0.39640463320102853,0.0,0.8487531870539494,42.486558343053034,731.6785027087795,3240.2364598925806,543.9063420490305,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,725.9899133586688,1.45,0.07873685176091616
2125,3.4452490705765246,113.9108737678592,0.0172085495450786,0.13118136127163263,31.319698586289036,778.6521412459488,0.4722130317924513,0.0,0.11110132911467796,39.09393470628692,765.8266863834789,3352.256053764918,459.1640829150841,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,765.8079709988208,1.45,0.07873685176091616
2130,3.5785629425210037,12.29146750933009,0.008568659141085733,0.09256705213565858,27.015269333900008,835.3461146070144,0.2980323675907419,0.0,0.9065670288420269,55.1405086823632,820.5014009954747,3787.59619596854,717.1696780156391,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,813.8167681981867,1.45,0.07873685176091616
2135,3.683133345840218,119.88066263565888,0.00414324684000855,0.06436805760630462,22.966686498008045,840.4096420386253,0.3689155739369536,0.0,0.052640146016106004,50.13821383262743,824.589369627514,3449.2563688132213,593.688364381529,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,824.5871998423919,1.45,0.07873685176091616
2140,3.821061205114013,9.726865959454013,0.0019274518599019675,0.043902754582166796,19.358974827267534,875.0889519023109,0.36603429191475134,0.0,0.9228825206168,51.89666254767275,857.3589723331785,3557.7666936751266,595.7415209136161,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,850.9536251038027,1.45,0.07873685176091616
2145,3.927198499130606,92.64131568814379,0.0008704369970168688,0.029503169270721896,16.115072188980033,908.8284726622195,0.44667523395025943,0.0,0.26071547213185753,47.267230073474195,889.3777529028386,3658.216693034032,491.60649718020625,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,889.1975475306178,1.45,0.07873685176091616
2150,4.049468193304616,100.90993899745703,0.00037991402226892235,0.019491383282592395,13.297169967032058,969.3387500403336,0.5996450729777727,0.0,0.21127964346777517,36.387565807139694,947.2810815925468,4146.052987925845,319.4759951220665,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,947.1815114425226,1.45,0.07873685176091616
